breakfast,pet,book
meal,animal,bookshelf
coffee,dog,author
porridge,cat,text
eat,bird,novel
tea,puppy,bible
pancake,fur,fiction
croissant,favourite,paperback
lunch,darling,paper
brunch,rottweiler,literature
toast,loved,encyclopedia
snack,caress,parchment
morning,rabbit,magazine
oatmeal,eat,textbook
buffet,play,volume
cook,rodent,ledger
pancakes,turtle,autobiography
marmalade,goldfish,record
muesli,livestock,papyrus
butter,kennel,diary
egg,greyhound,notebook
yogurt,hamster,biography
weekends,beagle,bookstore
sausage,spaniel,library
dine,poodle,product
honey,corgi,print
continental,pup,press
sandwiches,schnauzer,page
jam,therapy,bind
picnic,miniature,publish
dessert,terrier,ink
fruit,golden,reserve
juice,retriever,periodical
cereal,shetland,script
beans,sheepdog,cookbook
bread,labrador,word
latte,retriever,reading
brioche,cocker,librarian
salami,spaniel,cliffhanger
bagel,guinea,hardback
eggs,pig,article
milk,mouse,history
waffle,kitten,illustration
cheese,veterinarian,story
bacon,pug,read
muffin,domestication,collection
margarine,chosen,work
cornflakes,rescue,memoir
feed,love,poetry
crumpet,gentle,essays
restaurant,creature,anthology
drink,retriever,poem
order,doghouse,literary
counter,flea,writing
menu,spinach,preface
dish,,novelist
spinach,,publisher
read,,order
